subject_code,semester,campus,department,grade,credit,subject_name,professor,classroom,class_time
YHF1001-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,문학입문,배현자,청185,"화6,7,8"
YHF1001-02-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,문학입문,고강일,청129,"화6,7,8"
YHF1004-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,서양음악의이해(Online Classroom),이범석,"동영상(미래,중복수강가능)","일1,2,3"
YHF1005-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,음악사,성안나,창141,"월6,7,8"
YHF1006-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,대중문학의이해,고훈,청185,"목2,3,4"
YHF1006-02-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,대중문학의이해,고훈,창102,"화2,3,4"
YHF1007-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,연극의이해,최윤주,청129,"금3,4,5"
YHF1008-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,영화의이해,유지영,창141,"화1,2,3"
YHF1008-02-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,영화의이해,유지영,창184,"목1,2,3"
YHF1011-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,미술사,전옥례,청152,"수6,7,8"
YHF1012-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,미학,유연희,청185,"월1,2,3"
YHF1013-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,1,3.0,혼합매체,서효민,청378(청378),"월5,6,7(월8)"
YHF1020-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,한국문학고전의현대적이해,손동호,컨B114,"화5,6,7"
YHF1023-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,문화예술의심층심리,김세희,청572,"화2,3,4"
YHF1024-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,뉴미디어와대중문화의이해,배정상,청152,"목6,7,8"
YHF1025-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,자기치유적그리기와글쓰기,김세희,컨B107,"수2,3,4"
YHF1026-01-00,2025-1학기,미래,필수교양(11~19학번) 문학과예술,"1,2,3,4",3.0,그리스신화와상상력의진화,박언주,컨105,"수1,2,3"
YHG1001-01-00,2025-1학기,미래,필수교양(11~19학번) 인간과역사,1,3.0,역사학입문,왕현종,컨320,"목5,6,7"
YHG1002-01-00,2025-1학기,미래,필수교양(11~19학번) 인간과역사,"1,2,3,4",3.0,현대사회와심리학,이윤희,청185,"화2,3,4"
YHG1003-01-00,2025-1학기,미래,필수교양(11~19학번) 인간과역사,"1,2,3,4",3.0,인간행동의심리적이해,김성학,청185,"월6,7,8"
YHG1005-01-00,2025-1학기,미래,필수교양(11~19학번) 인간과역사,"1,2,3,4",3.0,서양문화의유산,이지원,청408,"목2,3,4"
YHG1005-02-00,2025-1학기,미래,필수교양(11~19학번) 인간과역사,"1,2,3,4",3.0,서양문화의유산,서이자,컨302,"수6,7,8"
